OUTFILE; OUT2DSET; TRASSPLINE; DIRECTIONSPLINE; INFILE
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield0_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield0_us_set; -1.2719899939408492 275.5401603717209 -378.7616171171151 -1.2719899939408492 275.5401603717209 -378.7616171171151; -1.271988946851593 175.54016037172087 -378.7616160581909 -1.271988946851593 175.54016037172087 -378.7616160581909; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield0_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield1_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield1_us_set; -1.271990004411748 276.5401603717209 -378.76161712770437 -1.271990004411748 276.5401603717209 -378.76161712770437; -1.2719889573224918 176.54016037172087 -378.76161606878014 -1.2719889573224918 176.54016037172087 -378.76161606878014; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield1_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield2_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield2_us_set; -1.2719901824169284 293.5401603717209 -378.7616173077215 -1.2719901824169284 293.5401603717209 -378.7616173077215; -1.271989135327658 193.54016037172087 -378.7616162487972 -1.271989135327658 193.54016037172087 -378.7616162487972; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield2_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield3_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield3_us_set; -1.271990192887813 294.5401603717209 -378.76161731831075 -1.271990192887813 294.5401603717209 -378.76161731831075; -1.2719891457985568 194.54016037172087 -378.76161625938647 -1.2719891457985568 194.54016037172087 -378.76161625938647; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield3_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield4_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield4_us_set; -1.2719900148826468 277.5401603717209 -378.7616171382936 -1.2719900148826468 277.5401603717209 -378.7616171382936; -1.2719889677933764 177.54016037172087 -378.7616160793694 -1.2719889677933764 177.54016037172087 -378.7616160793694; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield4_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield5_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield5_us_set; -1.2719901824169284 293.5401603717209 -378.7616173077215 -1.2719901824169284 293.5401603717209 -378.7616173077215; -1.271989135327658 193.54016037172087 -378.7616162487972 -1.271989135327658 193.54016037172087 -378.7616162487972; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield5_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield6_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield6_us_set; -1.2719901824169284 293.5401603717209 -378.7616173077215 -1.2719901824169284 293.5401603717209 -378.7616173077215; -1.271989135327658 193.54016037172087 -378.7616162487972 -1.271989135327658 193.54016037172087 -378.7616162487972; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield6_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield7_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield7_us_set; -1.271990004411748 276.5401603717209 -378.76161712770437 -1.271990004411748 276.5401603717209 -378.76161712770437; -1.2719889573224918 176.54016037172087 -378.76161606878014 -1.2719889573224918 176.54016037172087 -378.76161606878014; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield7_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield8_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield8_us_set; -1.271990192887813 294.5401603717209 -378.76161731831075 -1.271990192887813 294.5401603717209 -378.76161731831075; -1.2719891457985568 194.54016037172087 -378.76161625938647 -1.2719891457985568 194.54016037172087 -378.76161625938647; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield8_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield9_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield9_us_set; -1.2719901824169284 293.5401603717209 -378.7616173077215 -1.2719901824169284 293.5401603717209 -378.7616173077215; -1.271989135327658 193.54016037172087 -378.7616162487972 -1.271989135327658 193.54016037172087 -378.7616162487972; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse008/verse008forcefield9_lumbar_deformed_seg_sim.nii.gz
